Veteran Status,Estimate,Margin of Error,Sex,Year
Veterans,38175,+/-104,All,2016
Veterans,38726,+/-109,Male,2016
Veterans,32518,+/-222,Female,2016
Non-Veterans,27034,+/-55,All,2016
Non-Veterans,33821,+/-159,Male,2016
Non-Veterans,22385,+/-37,Female,2016
Veterans,39512,+/-110,All,2017
Veterans,40047,+/-93,Male,2017
Veterans,34020,+/-266,Female,2017
Non-Veterans,28287,+/-89,All,2017
Non-Veterans,35389,+/-99,Male,2017
Non-Veterans,23425,+/-54,Female,2017
Veterans,37469,+/-78,All,2015
Veterans,37989,+/-102,Male,2015
Veterans,31965,+/-189,Female,2015
Non-Veterans,26436,+/-53,All,2015
Non-Veterans,32773,+/-147,Male,2015
Non-Veterans,21914,+/-36,Female,2015
Veterans,37466,+/-83,All,2014
Veterans,37937,+/-96,Male,2014
Veterans,32057,+/-179,Female,2014
Non-Veterans,26214,+/-53,All,2014
Non-Veterans,32727,+/-125,Male,2014
Non-Veterans,21758,+/-33,Female,2014
Veterans,37346,+/-83,All,2013
Veterans,37815,+/-92,Male,2013
Veterans,31647,+/-171,Female,2013
Non-Veterans,25968,+/-54,All,2013
Non-Veterans,32347,+/-84,Male,2013
Non-Veterans,21562,+/-35,Female,2013
Veterans,37434,+/-88,All,2012
Veterans,37943,+/-99,Male,2012
Veterans,31329,+/-192,Female,2012
Non-Veterans,26022,+/-55,All,2012
Non-Veterans,32444,+/-88,Male,2012
Non-Veterans,21469,+/-34,Female,2012
Veterans,37463,+/-88,All,2011
Veterans,37973,+/-98,Male,2011
Veterans,31093,+/-187,Female,2011
Non-Veterans,25984,+/-58,All,2011
Non-Veterans,32795,+/-140,Male,2011
Non-Veterans,21307,+/-33,Female,2011
Veterans,36803,+/-78,All,2010
Veterans,37321,+/-83,Male,2010
Veterans,30137,+/-155,Female,2010
Non-Veterans,25575,+/-57,All,2010
Non-Veterans,32415,+/-93,Male,2010
Non-Veterans,20856,+/-33,Female,2010
