"Table with row headers in column A and column headers in rows 4 through 6","","","","","","","","","","","",""
"Table A-3.
Poverty Status of People by Age, Race, and Hispanic Origin: 1959 to 2022","","","","","","","","","","","",""
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>)","","","","","","","","","","","",""
"Race, Hispanic origin, and year","All people","","","Under 18 years","","","18 to 64 years","","","65 years and over","",""
"","Total","Below poverty","","Total","Below poverty","","Total","Below poverty","","Total","Below poverty",""
"","","Number","Percent","","Number","Percent","","Number","Percent","","Number","Percent"
"ALL RACES","","","","","","","","","","","",""
"2022","330,100","37,920","011.5","71,950","10,780","015.0","200,200","21,240","010.6","57,880","5,897","010.2"
"2021","328,200","37,930","011.6","72,940","11,150","015.3","199,100","20,980","010.5","56,190","5,802","010.3"
"20201","327,600","37,550","011.5","73,540","11,790","016.0","199,800","20,910","010.5","54,280","4,852","008.9"
"2019","324,800","33,980","010.5","72,640","10,470","014.4","197,500","18,660","009.4","54,640","4,858","008.9"
"2018","323,800","38,150","011.8","73,280","11,870","016.2","197,800","21,130","010.7","52,790","5,146","009.7"
"20172","322,500","39,560","012.3","73,470","12,760","017.4","198,000","21,910","011.1","51,070","4,893","009.6"
"2017","322,500","39,700","012.3","73,360","12,810","017.5","198,100","22,210","011.2","51,080","4,681","009.2"
"2016","319,900","40,620","012.7","73,590","13,250","018.0","197,100","22,800","011.6","49,270","4,568","009.3"
"2015","318,500","43,120","013.5","73,650","14,510","019.7","197,300","24,410","012.4","47,550","4,201","008.8"
"2014","315,800","46,660","014.8","73,560","15,540","021.1","196,300","26,530","013.5","45,990","4,590","010.0"
"20133","313,100","46,270","014.8","73,440","15,800","021.5","194,700","25,900","013.3","44,960","4,569","010.2"
"20134","313,000","45,320","014.5","73,630","14,660","019.9","194,800","26,430","013.6","44,510","4,231","009.5"
"2012","310,600","46,500","015.0","73,720","16,070","021.8","193,600","26,500","013.7","43,290","3,926","009.1"
"2011","308,500","46,250","015.0","73,740","16,130","021.9","193,200","26,490","013.7","41,510","3,620","008.7"
"20105","306,100","46,340","015.1","73,870","16,290","022.0","192,500","26,500","013.8","39,780","3,558","008.9"
"2009","303,800","43,570","014.3","74,580","15,450","020.7","190,600","24,680","012.9","38,610","3,433","008.9"
"2008","301,000","39,830","013.2","74,070","14,070","019.0","189,200","22,110","011.7","37,790","3,656","009.7"
"2007","298,700","37,280","012.5","74,000","13,320","018.0","187,900","20,400","010.9","36,790","3,556","009.7"
"2006","296,500","36,460","012.3","73,730","12,830","017.4","186,700","20,240","010.8","36,040","3,394","009.4"
"2005","293,100","36,950","012.6","73,290","12,900","017.6","184,300","20,450","011.1","35,510","3,603","010.1"
"20046","290,600","37,040","012.7","73,240","13,040","017.8","182,200","20,550","011.3","35,210","3,453","009.8"
"2003","287,700","35,860","012.5","73,000","12,870","017.6","180,000","19,440","010.8","34,660","3,552","010.2"
"2002","285,300","34,570","012.1","72,700","12,130","016.7","178,400","18,860","010.6","34,230","3,576","010.4"
"2001","281,500","32,910","011.7","72,020","11,730","016.3","175,700","17,760","010.1","33,770","3,414","010.1"
"20007","278,900","31,580","011.3","71,740","11,590","016.2","173,600","16,670","009.6","33,570","3,323","009.9"
"19998","276,200","32,790","011.9","71,690","12,280","017.1","171,100","17,290","010.1","33,380","3,222","009.7"
"1998","271,100","34,480","012.7","71,340","13,470","018.9","167,300","17,620","010.5","32,390","3,386","010.5"
"1997","268,500","35,570","013.3","71,070","14,110","019.9","165,300","18,090","010.9","32,080","3,376","010.5"
"1996","266,200","36,530","013.7","70,650","14,460","020.5","163,700","18,640","011.4","31,880","3,428","010.8"
"19959","263,700","36,430","013.8","70,570","14,670","020.8","161,500","18,440","011.4","31,660","3,318","010.5"
"199410","261,600","38,060","014.5","70,020","15,290","021.8","160,300","19,110","011.9","31,270","3,663","011.7"
"199311","259,300","39,270","015.1","69,290","15,730","022.7","159,200","19,780","012.4","30,780","3,755","012.2"
"199212","256,500","38,010","014.8","68,440","15,290","022.3","157,700","18,790","011.9","30,430","3,928","012.9"
"199113","251,200","35,710","014.2","65,920","14,340","021.8","154,700","17,590","011.4","30,590","3,781","012.4"
"1990","248,600","33,590","013.5","65,050","13,430","020.6","153,500","16,500","010.7","30,090","3,658","012.2"
"1989","246,000","31,530","012.8","64,140","12,590","019.6","152,300","15,580","010.2","29,570","3,363","011.4"
"198814","243,500","31,750","013.0","63,750","12,460","019.5","150,800","15,810","010.5","29,020","3,481","012.0"
"198714","241,000","32,220","013.4","63,290","12,840","020.3","149,200","15,820","010.6","28,490","3,563","012.5"
"1986","238,600","32,370","013.6","62,950","12,880","020.5","147,600","16,020","010.8","27,980","3,477","012.4"
"198515","236,600","33,060","014.0","62,880","13,010","020.7","146,400","16,600","011.3","27,320","3,456","012.6"
"198416","233,800","33,700","014.4","62,450","13,420","021.5","144,600","16,950","011.7","26,820","3,330","012.4"
"1983","231,700","35,300","015.2","62,330","13,910","022.3","143,100","17,770","012.4","26,310","3,625","013.8"
"1982","229,400","34,400","015.0","62,350","13,650","021.9","141,300","17,000","012.0","25,740","3,751","014.6"
"198117","227,200","31,820","014.0","62,450","12,510","020.0","139,500","15,460","011.1","25,230","3,853","015.3"
"1980","225,000","29,270","013.0","62,910","11,540","018.3","137,400","13,860","010.1","24,690","3,871","015.7"
"197918","222,900","26,070","011.7","63,380","10,380","016.4","135,300","12,010","008.9","24,190","3,682","015.2"
"1978","215,700","24,500","011.4","62,310","9,931","015.9","130,200","11,330","008.7","23,180","3,233","014.0"
"1977","213,900","24,720","011.6","63,140","10,290","016.2","128,300","11,320","008.8","22,470","3,177","014.1"
"1976","212,300","24,980","011.8","64,030","10,270","016.0","126,200","11,390","009.0","22,100","3,313","015.0"
"1975","210,900","25,880","012.3","65,080","11,100","017.1","124,100","11,460","009.2","21,660","3,317","015.3"
"197419","209,400","23,370","011.2","66,130","10,160","015.4","122,100","10,130","008.3","21,130","3,085","014.6"
"1973","207,600","22,970","011.1","66,960","9,642","014.4","120,100","9,977","008.3","20,600","3,354","016.3"
"197220","206,000","24,460","011.9","67,930","10,280","015.1","118,000","10,440","008.8","20,120","3,738","018.6"
"197121","204,600","25,560","012.5","68,820","10,550","015.3","115,900","10,740","009.3","19,830","4,273","021.6"
"1970","202,200","25,420","012.6","69,160","10,440","015.1","113,600","10,190","009.0","19,470","4,793","024.6"
"1969","199,500","24,150","012.1","69,090","9,691","014.0","111,500","9,669","008.7","18,900","4,787","025.3"
"1968","197,600","25,390","012.8","70,390","10,950","015.6","108,700","9,803","009.0","18,560","4,632","025.0"
"196722","195,700","27,770","014.2","70,410","11,660","016.6","107,000","10,730","010.0","18,240","5,388","029.5"
"1966","193,400","28,510","014.7","70,220","12,390","017.6","105,200","11,010","010.5","17,930","5,114","028.5"
"1965","191,400","33,190","017.3","69,990","14,680","021.0","N","N","N","N","N","N"
"1964","189,700","36,060","019.0","69,710","16,050","023.0","N","N","N","N","N","N"
"1963","187,300","36,440","019.5","69,180","16,010","023.1","N","N","N","N","N","N"
"1962","184,300","38,630","021.0","67,720","16,960","025.0","N","N","N","N","N","N"
"1961","181,300","39,630","021.9","66,120","16,910","025.6","N","N","N","N","N","N"
"1960","179,500","39,850","022.2","65,600","17,630","026.9","N","N","N","N","N","N"
"1959","176,600","39,490","022.4","64,320","17,550","027.3","96,690","16,460","017.0","15,560","5,481","035.2"
"WHITE ALONE23","","","","","","","","","","","",""
"2022","248,800","26,050","010.5","50,650","6,849","013.5","150,400","14,880","009.9","47,780","4,320","009.0"
"2021","248,900","24,920","010.0","51,690","6,631","012.8","150,700","14,050","009.3","46,550","4,236","009.1"
"20201","249,100","25,180","010.1","52,330","7,313","014.0","151,400","14,360","009.5","45,330","3,513","007.8"
"2019","248,100","22,510","009.1","52,490","6,443","012.3","149,800","12,540","008.4","45,760","3,534","007.7"
"2018","247,600","24,950","010.1","52,760","7,049","013.4","150,600","14,130","009.4","44,310","3,762","008.5"
"20172","247,300","26,030","010.5","53,100","7,796","014.7","151,200","14,650","009.7","43,000","3,577","008.3"
"2017","247,300","26,440","010.7","53,020","8,041","015.2","151,300","15,030","009.9","42,990","3,368","007.8"
"2016","246,000","27,110","011.0","53,320","8,324","015.6","151,000","15,470","010.2","41,620","3,322","008.0"
"2015","245,500","28,570","011.6","53,550","9,204","017.2","151,700","16,330","010.8","40,250","3,037","007.5"
"2014","244,300","31,090","012.7","53,640","9,602","017.9","151,600","18,090","011.9","39,050","3,400","008.7"
"20133","243,300","31,290","012.9","53,640","10,300","019.2","151,200","17,630","011.7","38,480","3,362","008.7"
"20134","243,100","29,940","012.3","53,850","8,808","016.4","151,300","17,930","011.8","37,910","3,197","008.4"
"2012","242,100","30,820","012.7","54,070","9,979","018.5","151,000","17,950","011.9","37,040","2,891","007.8"
"2011","241,300","30,850","012.8","54,190","10,100","018.6","151,400","18,010","011.9","35,730","2,739","007.7"
"20105","240,000","31,080","013.0","54,490","10,090","018.5","151,200","18,350","012.1","34,270","2,638","007.7"
"2009","242,000","29,830","012.3","56,270","9,938","017.7","152,400","17,390","011.4","33,410","2,501","007.5"
