"Table 219.10. High school graduates, by sex and control of school; public high school averaged freshman graduation rate  
              (AFGR); and total graduates as a ratio of 17-year-old population: Selected years, 1869-70 through 2030-31","","","","","","","","","","","","","",""
"School year","High school graduates","","","","","","","","","","","Public school AFGR\3\","Population 17 years old\4\","Total graduates as a ratio of 
17-year-old population\5\"
"","Total\1\","Sex","","Control  ","","","","","","","","","",""
"","","Males","Females","Public\2\","","","","","","Private, total","","","",""
"","","","","Total","","Males","","Females","","","","","",""
"1","2","3","4","5","","6","","7","","8","","9","10","11"
"1869-70 ","16,000","7,064","8,936","      ---","","      ---","","      ---","","---","","      ---","815,000","2.0"
"1879-80 ","23,634","10,605","13,029","      ---","","      ---","","      ---","","---","","      ---","946,026","2.5"
"1889-90 ","43,731","18,549","25,182","21,882","\6\","      ---","","      ---","","21,849","\7\","      ---","1,259,177","3.5"
"1899-1900 ","94,883","38,075","56,808","61,737","\6\","      ---","","      ---","","33,146","\7\","      ---","1,489,146","6.4"
"1909-10 ","156,429","63,676","92,753","111,363","\6\","      ---","","      ---","","45,066","\7\","      ---","1,786,240","8.8"
"1919-20 ","311,266","123,684","187,582","230,902","\6\","      ---","","      ---","","80,364","\7\","      ---","1,855,173","16.8"
"1929-30 ","666,904","300,376","366,528","591,719","\6\","      ---","","      ---","","75,185","\7\","      ---","2,295,822","29.0"
"1939-40 ","1,221,475","578,718","642,757","1,143,246","","538,273","","604,973","","78,229","\7\","      ---","2,403,074","50.8"
"1949-50 ","1,199,700","570,700","629,000","1,063,444","","505,394","","558,050","","136,256","\7\","      ---","2,034,450","59.0"
"1959-60 ","1,858,023","895,000","963,000","1,627,050","","791,426","","835,624","","230,973","","      ---","2,672,000","69.5"
"1969-70 ","2,888,639","1,430,000","1,459,000","2,588,639","","1,285,895","","1,302,744","","300,000","\7\","78.7","3,757,000","76.9"
"1975-76 ","3,142,120","1,552,000","1,590,000","2,837,129","","1,401,064","","1,436,065","","304,991","","74.9","4,272,000","73.6"
"1979-80 ","3,042,214","1,503,000","1,539,000","2,747,678","","---","","---","","294,536","","71.5","4,262,000","71.4"
"1985-86 ","2,642,616","---","---","2,382,616","","---","","---","","260,000","\7\","74.3","3,670,000","72.0"
"1986-87 ","2,693,803","---","---","2,428,803","","---","","---","","265,000","\7\","74.3","3,754,000","71.8"
"1987-88 ","2,773,020","---","---","2,500,020","","---","","---","","273,000","\7\","74.2","3,849,000","72.0"
"1988-89 ","2,743,743","---","---","2,458,800","","---","","---","","284,943","","73.4","3,842,000","71.4"
"1989-90\8\ ","2,574,162","---","---","2,320,337","","---","","---","","253,825","\9\","73.6","3,505,000","73.4"
"1990-91 ","2,492,988","---","---","2,234,893","","---","","---","","258,095","","73.7","3,417,913","72.9"
"1991-92 ","2,480,399","---","---","2,226,016","","---","","---","","254,383","\9\","74.2","3,398,884","73.0"
"1992-93 ","2,480,519","---","---","2,233,241","","---","","---","","247,278","","73.8","3,449,143","71.9"
"1993-94 ","2,463,849","---","---","2,220,849","","---","","---","","243,000","\7\","73.1","3,442,521","71.6"
"1994-95 ","2,519,084","---","---","2,273,541","","---","","---","","245,543","","71.8","3,635,803","69.3"
"1995-96 ","2,518,109","---","---","2,273,109","","---","","---","","245,000","\7\","71.0","3,640,132","69.2"
"1996-97 ","2,611,988","---","---","2,358,403","","---","","---","","253,585","","71.3","3,792,207","68.9"
"1997-98 ","2,704,050","---","---","2,439,050","","1,187,647","","1,251,403","","265,000","\7\","71.3","4,008,416","67.5"
"1998-99 ","2,758,655","---","---","2,485,630","","1,212,924","","1,272,706","","273,025","","71.1","3,917,885","70.4"
"1999-2000 ","2,832,844","---","---","2,553,844","","1,241,631","","1,312,213","","279,000","\7\","71.7","4,056,639","69.8"
"2000-01 ","2,847,973","---","---","2,569,200","","1,251,931","","1,317,269","","278,773","","71.7","4,023,686","70.8"
"2001-02 ","2,906,534","---","---","2,621,534","","1,275,813","","1,345,721","","285,000","\7\","72.6","4,023,968","72.2"
"2002-03 ","3,015,735","---","---","2,719,947","","1,330,973","","1,388,974","","295,788","","73.9","4,125,087","73.1"
"2003-04\8,10\ ","3,054,438","---","---","2,753,438","","1,347,800","","1,405,638","","301,000","\7\","74.3","4,113,074","74.3"
"2004-05 ","3,106,499","---","---","2,799,250","","1,369,749","","1,429,501","","307,249","","74.7","4,120,073","75.4"
"2005-06\8\ ","3,122,544","---","---","2,815,544","","1,376,458","","1,439,086","","307,000","\7\","73.4","4,200,554","74.3"
"2006-07 ","3,199,650","---","---","2,893,045","","1,414,069","","1,478,976","","306,605","","73.9","4,297,239","74.5"
"2007-08","3,312,337","---","---","3,001,337","","1,467,180","","1,534,157","","311,000","\7\","74.7","4,436,955","74.7"
"2008-09\8\ ","3,347,828","---","---","3,039,015","","1,490,317","","1,548,698","","308,813","","75.5","4,336,950","77.2"
"2009-10 ","3,435,022","---","---","3,128,022","","1,542,684","\11\","1,585,338","\11\","307,000","\7\","78.2","4,311,831","79.7"
"2010-11 ","3,449,940","---","---","3,144,100","","1,552,981","","1,591,113","","305,840","","79.6","4,367,894","79.0"
"2011-12 ","3,454,095","---","---","3,149,185","","1,558,489","","1,590,694","","304,910","\7\","80.8","4,294,343","80.4"
"2012-13 ","3,478,027","---","---","3,169,257","","1,569,675","","1,599,579","","308,770","","81.9","4,256,151","81.7"
"2013-14\12\ ","3,488,310","---","---","3,168,450","","---","","---","","319,860","","83.1","4,185,184","83.3"
"2014-15\12\ ","3,530,250","---","---","3,187,000","","---","","---","","343,250","\13\","---","4,171,162","84.6"
"2015-16\12\ ","3,574,730","---","---","3,224,140","","---","","---","","350,590","","---","4,204,274","85.0"
"2016-17\12\ ","3,603,550","---","---","3,255,320","","---","","---","","348,230","\13\","---","4,218,770","85.4"
"2017-18\12\ ","3,659,820","---","---","3,310,020","","---","","---","","349,800","","---","4,290,560","85.3"
"2018-19\12\ ","3,666,310","---","---","3,325,700","","---","","---","","340,610","\13\","---","4,217,720","86.9"
